,Titulares,Texto,Otros_datos
27,Muere el músico de jazz Bob Sands a los 55 años,"Según ha confirmado la banda en su perfil oficial de Facebook, el compositor y flautista ha fallecido en Madrid tras una larga enfermedad","noticia
porcentaje
Coincidencia 79%
30/06/2021Efe"
28,"Así funciona Morphée, el nuevo 'gadget' para meditar y plantarle cara al estrés que te ayudará a dormir mejor","Lidiar con el insomnio no es fácil. Más de cuatro millones de españoles sufre problemas de sueño. Evitar las pantallas, una alimentación rica en triptófano y la meditación ayudan a ponerle remedio.","noticia
porcentaje
Coincidencia 70%
30/06/2021JESSICA NIETO"
29,"Los chollos del día en Amazon: un robot aspirador al 42%, una crema solar de Garnier al 50%, una báscula inteligente a mitad de precio...","Una selección de los mejores descuentos y las ofertas que puedes encontrar hoy, 30 de junio, en Amazon","noticia
porcentaje
Coincidencia 70%
30/06/2021BAZAR"
30,Sony WF-1000XM4: lo único malo que tienen es el nombre,"Los nuevos auriculares bluetooth para móvil de Sony tienen una gran calidad, una muy buena batería e incluyen un avanzadísimo sistema de insonorización","noticia
porcentaje
Coincidencia 73%
30/06/2021BRUNO TOLEDANO"
31,Samsung lanza en España las barras de sonido de la serie Q 2021 con True Dolby Atmos y Q-Symphony,"Samsung ha anunciado este martes el lanzamiento en España de sus nuevas de barras de sonido de la Serie Q de 2021, una familia que cuenta con la tecnología de sonido True Dolby Atmos y el sistema Q-Symphony para combinar canales de sonido.","noticia
porcentaje
Coincidencia 70%
30/06/2021EUROPA PRESS"
32,"Mala Rodríguez: ""Mi carrera me importa tres cojones comparada con el amor de mi familia""",La pionera del rap español presenta a sus 42 años unas memorias tremendas en las que asume contradicciones y fortalezas con una personalidad arrolladora,"noticia
porcentaje
Coincidencia 86%
30/06/2021JOSÉ FAJARDO"
33,"Cristina Pedroche: ''Nunca me resisto a las croquetas de la Pedroche de StreetXo o la lasaña del GoXo, aunque haya comido''","Cristina Pedroche es una de las presentadoras más famosas y, sobre todo, más optimistas de la televisión española. Además hemos descubierto que es una gran amante del café. Ella va a ser la encargada de darnos una nueva forma de disfrutar de esta bebida: el Café Bailao, el carajillo de toda la vida ...","noticia
porcentaje
Coincidencia 72%
30/06/2021A. GABRIEL"
34,"4 razones para ver 'Fast & Furious 9', un taquillazo del verano","Vin Diesel protagoniza 'Fast & Furious 9', una película de acción que se estrena en cines el 2 de julio","noticia
porcentaje
Coincidencia 72%
30/06/2021JAVIER ESTRADA"
35,"Nyno Vargas: ""Soy ciudadano español, no me considero diferente por ser gitano""","Burjasot (Valencia), 1993. Estrella de la música urbana y ex concursante de Supervivientes, Nyno Vargas acaba de presentar su nuevo disco, El efecto Nyno... continuará (Warner).","noticia
porcentaje
Coincidencia 86%
30/06/2021DARÍO PRIETO"
36,"Pere Navarro: ""Nos han vacunado, pero eso no te hace inmortal en carretera""","En 1989, en España morían 25 personas al día en carretera; hoy son cinco. Parte del mérito es de este ingeniero que empezó a conducir un dos caballos y hoy es el director de Tráfico. 'Mi mujer dice que llevo el coche sucio', dice la víspera de la 'Operación Salida'","noticia
porcentaje
Coincidencia 70%
29/06/2021PEDRO SIMÓN , FOTOS: JAVI MARTÍNEZ"
37,"Dentro del hotel del macrobrote: ""Corren por los pasillos, hacen fiestas y bromas telefónicas. Es un infierno""","'Tienen la música a todo volumen durante horas, tiran fruta por los balcones. Es muy difícil para los que están enfermos de verdad', relata uno de los huéspedes que se encuentran en el hotel Covid-19 donde se encuentran cientos de estudiantes del macrobrote de Mallorca","noticia
porcentaje
Coincidencia 76%
29/06/2021ANDREA FEDERICA DE CESCO (CORRIERE DELLA SERA)"
38,"Noticias de hoy, martes, 29 de junio de 2021",1.- El juez deniega conceder el 'habeas corpus' a los estudiantes retenidos en Mallorca,"noticia
porcentaje
Coincidencia 70%
29/06/2021EL MUNDO"
39,"Vox introduce una grabación de ""Gibraltar español"" en una conferencia de Fabian Picardo en Madrid",El primer ministro del Peñón intervenía en el Club Siglo XXI cuando se ha escuchado el mensaje. Algunas personas de la sala han aplaudido y Picardo ha manifestado: 'Ya empezamos',"noticia
porcentaje
Coincidencia 70%
29/06/2021MARISOL HERNÁNDEZ"
40,"Ouigo, en busca de los viajeros más jóvenes: anuncia momentos musicales y una canción con Maikel Delacalle",¿Se dice oígo? ¿uígo? o ¿cómo? Con la pregunta que muchos nos hemos hecho arranca la última campaña de la compañía de trenes low cost Ouigo junto al cantante urbano Maikel Delacalle,"noticia
porcentaje
Coincidencia 79%
29/06/2021EL MUNDO"
41,Los rebeldes entran en la capital de la región etíope de Tigray y el gobierno interino huye,"EEUU, Irlanda y Reino Unido han solicitado una reunión de emergencia del Consejo de Seguridad de la ONU sobre Tigray, donde los combates continúan y 350.000 personas están al borde de la hambruna","noticia
porcentaje
Coincidencia 72%
29/06/2021AFP"
42,"Coronavirus España hoy, última hora | La incidencia sube cinco puntos desde el viernes y supera los 100 casos",Sanidad registra 10.179 nuevos casos y 10 muertos y pasa de una incidencia de 95 casos el pasado viernes a 100 este lunes,"noticia
porcentaje
Coincidencia 70%
29/06/2021NOELIA MARÍN , ESTHER MUCIENTES , JAVIER MUNERA"
43,Estas son las rutas más originales para redescubrir Madrid,"Lugares vinculados con la Inquisición, puntos donde se concentraban los asesinos a sueldo o el Madrid que amaba Alfonso XII son algunos de los 25 nuevos itinerarios guiados que propone el Ayuntamiento.","noticia
porcentaje
Coincidencia 72%
29/06/2021M. CANALES"
44,"Andrea Motis: ""Niña prodigio, no; pero desde los 14 años estoy en los escenarios""","Andrea Motis. Barcelona, 1995. La cantante, trompetista y saxofonista afronta un verano cargado de conciertos. El pistoletazo de salida será el 1 de julio en Música en Segura. A todos los festivales acudirá con su bebé de ocho meses.","noticia
porcentaje
Coincidencia 86%
29/06/2021SILVIA MORENO"
45,"Kiko Veneno: ""Es como si con la pandemia hubieran pensado: 'Nos vamos a quitar el gasto de estos ancianos'""","Uno de los autores fundamentales del pop vuelve con 'Hambre' tras perder a su madre por un brote de Covid en una residencia. 'Estos centros los llevan fondos buitre que no son almas de la caridad, que no buscan gente cualificada, sino gente con el menor sueldo posible', denuncia","noticia
porcentaje
Coincidencia 81%
28/06/2021PEDRO SIMÓN , Fotos: Bernardo Díaz"
46,"Manuela, hija de Alejandro Sanz, presume de novio en Instagram","La hija mayor de Alejandro Sanz y Jaydy Michel, Manuela Sánchez, no suele ofrecer demasiada información sobre su ámbito más íntimo en las redes sociales y, de hecho, desde que presentara espontáneamente a su novio, Axel Angulo, a sus seguidores de Instagram el pasado mes de diciembre, no había...","noticia
porcentaje
Coincidencia 70%
28/06/2021BANG"
47,Isabel Pantoja sorprende al recordar emocionada a su hijo Kiko Rivera,Las emisiones de 'Top Star' siguen dejando momentos en los que la tonadillera da muestras de su sufrimiento ante su situación familiar,"noticia
porcentaje
Coincidencia 72%
28/06/2021GTRES"
48,Bruce Springsteen inaugura el retorno de los espectáculos a Broadway,"A las puertas del teatro le esperó un grupo de fans, pero también acudieron a manifestarse personas contrarias a la vacuna","noticia
porcentaje
Coincidencia 76%
28/06/2021"
49,"Espido Freire: ""¿Vivir sólo de escribir libros? No es fácil ni ahora ni nunca""","La premiada autora, que recientemente ha publicado 'Tras los pasos de Jane Austen', amadrina la Feria Romántica de Benicàssim","noticia
porcentaje
Coincidencia 70%
28/06/2021DANIEL VICENTE"
50,Un rap por la patria china,Cien raperos chinos se unen para componer una canción de 15 minutos que celebra el centenario del Partido Comunista dentro de la estrategia del Gobierno para captar al público más joven,"noticia
porcentaje
Coincidencia 86%
28/06/2021LUCAS DE LA CAL"
51,"Gonzalo Suárez: ""Cada vez somos más proclives a que nos conduzcan""","El escritor y director, que acaba de ser premiado en el Festival de Huesca, presenta 'Alas de tiniebla', un nuevo y deslumbrante mediometraje dibujado sobre el fin de los tiempos","noticia
porcentaje
Coincidencia 70%
28/06/2021LUIS MARTÍNEZ"
52,Torería de Morante en el arrebatado triunfo de Ferrera,El genio de Sevilla bordó el toreo frente a la heterodoxia del torero extremeño; sin suerte Juan Ortega en su presentación: escuchó tres avisos en el tercero,"noticia
porcentaje
Coincidencia 70%
27/06/2021Lucas Pérez"
53,Cuando Pedro Sánchez era un ligón con camiseta ajustada,"La filtración de una foto del presidente con el típico 'pelocenicero' de quien no ha descubierto a Beckham y un collar de cuentas comprado a un 'hippie' en Ibiza nos retrotrae a la España de Aznar, ese tiempo en que fuimos felices","noticia
porcentaje
Coincidencia 74%
27/06/2021Javier Blánquez"
54,"Operación Camarón, Spirit: Indomable y todos los estrenos de cine de la semana","La cartelera se renueva el 24 y 25 de junio con películas como Operación Camarón, Spirit: Indomable o La vida de los demás.","noticia
porcentaje
Coincidencia 70%
27/06/2021JAVIER ESTRADA"
55,Temor ante un posible brote de la variante Delta en Italia tras una fiesta ilegal de 700 personas en Lombardía,"Muchos de los participantes viajaron desde el norte del país hasta la localidad de Maleo, donde se celebraba una fiesta rave ilegal y que esta semana tuvo tres casos de esta variante","noticia
porcentaje
Coincidencia 70%
27/06/2021FRANCESCO GASTALDI / Corriere della Sera"
56,"Alborán, Rozalén, Fangoria... Diez conciertos en Madrid para los que quedan entradas (de momento)","A pesar de las restricciones por COVID, la música en directo nunca desapareció de Madrid","noticia
porcentaje
Coincidencia 86%
27/06/2021ROCÍO NAVARRO"
57,"Coronavirus España hoy, última hora | Los padres culpan a los ""organizadores de los viajes"" del ""megabrote""",España se quita la mascarilla en exteriores en una semana en la que se recibirán más de seis millones de dosis de vacunas contra el coronavirus y mientras el brote tras los viajes de curso a Mallorca ya registra casos en ocho comunidades autónomas,"noticia
porcentaje
Coincidencia 70%
27/06/2021ISABEL VELLOSO / REBECA YANKE / J.D. Madueño"
58,"Sandra García-Sanjuán: ""Plácido Domingo es un número 1 y tiene que estar en Starlite""",Hace una década puso en marcha en Marbella un nuevo modelo de festival estival de música. Ahora celebra su 10ª edición tras sobrevivir a los efectos de la pandemia en la industria del espectáculo.,"noticia
porcentaje
Coincidencia 86%
27/06/2021DARÍO PRIETO"
59,Gabriele D'Annunzio: una inspiración para Mussolini y un enemigo para Hitler,"La película 'El poeta y el espía' recupera al carismático italiano, quien después de una vida de escritor y conquistador de mujeres creó en Istria un estado protofascista en el que la música y las ideas de Nietzsche eran los principios fundamentales.","noticia
porcentaje
Coincidencia 74%
26/06/2021DARÍO PRIETO"
60,"Apple, presionada por varios gobiernos, sale a la defensa de su tienda de apps",Apple cuestiona en un largo informe la viabilidad del uso de apps instaladas por vías no oficiales en sus dispositivos móviles,"noticia
porcentaje
Coincidencia 70%
26/06/2021ÁNGEL JIMÉNEZ DE LUIS"
61,Olivia Valère: Un señor llegó con un maletín lleno de dinero y 15 mercedes con las hijas del sultán de Brunei,"Ha sido anfitriona de Elizabeth Taylor, de Sean Connery, de Prince... De todas las estrellas que han pasado por la Costa del Sol. Hoy hace balance con LOC de estos meses de pandemia: 'He perdido entre 3 y 4 millones'.","noticia
porcentaje
Coincidencia 73%
26/06/2021Luis Fernando Romo"
62,"El Orgullo también es una explosión cultural: teatro, cine música, exposiciones....","Tras un 2020 marcado por la pandemia, en el que las Fiestas del Orgullo LGTBIQA+ tuvieron que celebrarse a través de videoconferencias y eventos online, esta semana las calles de Madrid volverán a lucir las banderas arcoíris.","noticia
porcentaje
Coincidencia 76%
26/06/2021ISMAEL MARINERO"
63,"Quentin Tarantino: ""En 2028 estaremos hartos de esta ola de lo políticamente correcto y habrá una buena resaca""","El director de cine convierte en novela su última película, 'Érase una vez en... Hollywood'","noticia
porcentaje
Coincidencia 76%
25/06/2021Luca Mastrantonio"
64,Arranca el Festival de Teatro Clásico de Mérida con el doble de representaciones,"El verano pasado apenas se pudo disfrutar del emblemático encuentro por las medidas sanitarias pero, en esta ocasión, se han vendido ya 32.000 entradas","noticia
porcentaje
Coincidencia 72%
25/06/2021DAVID VIGARIO"
65,Israel devuelve las mascarillas a espacios interiores a raíz de la variante Delta,El país que más rápido avanzó en la campaña de vacunación se ve obligado a dar un paso atrás ante la irrupción de la mutación del virus,"noticia
porcentaje
Coincidencia 70%
25/06/2021SAL EMERGUI"
66,"Dos Veces, de David Bisbal y Luis Fonsi: letra y vídeo",Los artistas han vuelto a trabajar juntos en una rumba tropical para la cual han grabado un divertido clip,"noticia
porcentaje
Coincidencia 76%
25/06/2021TRESB"
67,"'Feria', de Ana Iris Simón, lo último de Elísabet Benavent y 'Cincuenta sombras de Grey' y otros títulos que debes llevarte estas vacaciones","El verano es el momento perfecto para leer lo que no se ha podido durante el resto del año. 'Best sellers', novela negra, literatura erótica, ensayo... No te pierdas esta selección de títulos","noticia
porcentaje
Coincidencia 70%
25/06/2021BAZAR"
68,"Aissa: ""Mi cultura tiene muchas cosas bonitas aunque la gente no lo vea""","Aissa Aslani (Madrid, 1997) se hizo popular colgando sketches en redes mientras trabajaba en Londres para ayudar económicamente a su familia. Cuando las cosas estuvieron mejor, volvió a España y quiso probar fortuna en la música.","noticia
porcentaje
Coincidencia 86%
25/06/2021CRISTINA LUIS , SERGIO GONZÁLEZ (Vídeo)"
69,"Pablo Alborán: ""He vivido los dramas de esta época con rabia, como todos""","Pablo Alborán. Málaga, 1989. Es el músico que más éxito ha tenido en España en la última década. Y, desde ayer, es también el nuevo embajador de UNICEF España «como reconocimiento a su trayectoria a favor de los niños más vulnerables».","noticia
porcentaje
Coincidencia 83%
25/06/2021LUIS ALEMANY"
70,Así es el 'apartamento' de los Reyes cuando duermen en Sevilla,El Cuarto Real Alto del Real Alcázar de Sevilla muestra la historia de España desde Pedro I a través de la arquitectura y el arte,"noticia
porcentaje
Coincidencia 70%
25/06/2021ANA GARCÍA ROMERO"
71,"Arranca la nueva temporada de los Teatros del Canal: ciclos de conciertos, ópera, zarzuela y mucha música","Con más de 100 estrenos y artistas como John Malkovich, Angélica Liddell, María Pagés o Pippo Delbono, el espacio se consolida como el referente escénico a nivel nacional","noticia
porcentaje
Coincidencia 81%
25/06/2021EL MUNDO"
72,"Xiringuito by Casa Mono, el comedor con playa de Madrid","Ubicado en el centro X-Madrid (Alcorcón), cuenta con comedor, terraza y zona de playa y arena y apuesta por una cocina con toques contemporáneos.","noticia
porcentaje
Coincidencia 70%
25/06/2021ISABEL MUÑOZ"
73,Ferrera corta un rabo y triunfa con Juanito en una polémica tarde en Badajoz,"El diestro Antonio Ferrera cortó un rabo a un toro de Zalduendo para el que pidieron el indulto y salió triunfador junto al portugués Juanito, que paseó tres apéndices, en el festejo inaugural de la feria de San Juan de Badajoz, en la que el tercer espada, Morante de la Puebla, se fue de vacío. Una ...","noticia
porcentaje
Coincidencia 70%
25/06/2021EFE"
74,"Marbella, una escapada perfecta de fin de semana","Málaga es un gran destino de vacaciones, al menos para disfrutar de una escapara de una semana o de 15 días","noticia
porcentaje
Coincidencia 72%
24/06/2021"
75,Framing Britney Spears: el nuevo capítulo del espectáculo más inquietante del pop,"Un documental sirve de altavoz a la campaña #FreeBritney, lanzada por fans que temen que la estrella del pop esté siendo controlada sin su consentimiento por su padre. Éste tutela su carrera desde 2008, cuando la cantante sufrió varias crisis mentales","noticia
porcentaje
Coincidencia 80%
24/06/2021PABLO GIL"
76,"El Hormiguero: Apnea musical, el curioso reto que protagonizaron Pilar Rubio y Pablo Motos",El presentador y la colaboradora realizaron una singular actuación dentro de una piscina,"noticia
porcentaje
Coincidencia 74%
24/06/2021TRESB"
77,Pixel Buds A-Series: Google no se rinde con sus auriculares,"No son perfectos, pero suenan bien, tienen un diseño muy original, funcionan de miedo con Android y son mucho más baratos que su anterior generación","noticia
porcentaje
Coincidencia 70%
24/06/2021BRUNO TOLEDANO"
78,"Núria Espert: ""Los nacionalismos hacen pequeños a los pueblos y a las personas""","Con 86 años, la actriz vuelve a subir a los escenarios con un espectáculo sobre Vivaldi. 'La especie humana está desorientada', asegura","noticia
porcentaje
Coincidencia 73%
24/06/2021MANUEL LLORENTE , FOTOGRAFÍAS: CARLOS GARCÍA POZO"
79,Nueva normalidad sin mascarilla: así se cuida la piel,"El 26 de junio es LA fecha, esperada por muchos, del destape facial, cuando decae el uso de las mascarillas en exteriores y la mitad inferior del rostro volverá a dejarse ver después de un año agazapado tras capas higiénicas, telas de algodón y FFP2","noticia
porcentaje
Coincidencia 70%
24/06/2021MARTA SOTILLO"
80,Mujer y mayor de 45 años: ¿eres víctima del edadismo?,"Aunque hayas empezado a escuchar hace relativamente poco el término 'edadismo', lo cierto es que se acuñó en los años 60","noticia
porcentaje
Coincidencia 73%
24/06/2021SILVIA NIETO"
81,"Pablo Puyol, de Un paso adelante a encontrar el amor gracias a Antonio Banderas","Después de dos décadas trabajando en el teatro, el cine y la televisión, el actor malagueño conoció a la presentadora y bailarina Beatriz Mur en 'A Chorus Line', un musical protagonizado y producido por su internacional paisano.","noticia
porcentaje
Coincidencia 70%
24/06/2021FÁTIMA ELIDRISSI"
82,Conil ve la luz: cinco razones para escaparse unos días antes de que se llene de gente en verano,"Poco a poco, Conil de la Frontera despierta al verano, a los turistas y a las actividades que se han visto mermadas por la pandemia","noticia
porcentaje
Coincidencia 70%
24/06/2021MARÍA CANALES"
83,"Mamzel, la experiencia del lujo, en Marbella","Mamzel es la sensación del verano 2021. En este espacio desde el que podrás tener una de las mejores vistas de Marbella y uno de los atardeceres más hermosos de la Costa del Sol podrás disfrutar de una cena y un espectáculo musical de cinco estrella. Ciudades como Nueva York, Parí...","foto
porcentaje
Coincidencia 81%
23/06/2021"
84,"Vetusta Morla, Amaral o Love of Lesbian encabezan el ambicioso cartel del SanSan trasladado a octubre por la pandemia","Con un ambicioso cartel que celebra el regreso de los grandes festivales, los abonos del festival se pondrán a la venta este domingo, a las 11.00 horas, a un precio inicial de 60 más gastos de gestión","noticia
porcentaje
Coincidencia 86%
23/06/2021E.M."
85,El Hormiguero: Ana Torroja cuenta cómo comenzó a triunfar Mecano y su falsa rivalidad con Alaska,TELEVISIÓN Las dos artistas han colaborado en un single,"noticia
porcentaje
Coincidencia 70%
23/06/2021TRESB"
86,Una programación paritaria e internacional para la temporada 21/22 del Centro Dramático Nacional,"La cantante habló sobre Hoy no me puedo levantar, el primer sencillo del grupo, que ha cumplido 40 años","noticia
porcentaje
Coincidencia 70%
23/06/2021PABLO R. ROCES"
87,"Manu Tenorio: ""Daremos el homenaje que se merece a Alex Casademunt y que debería haber hecho Televisión Española""",El organismo público recupera los montajes europeos tras un año marcado por la pandemia del coronavirus,"noticia
porcentaje
Coincidencia 86%
23/06/2021CRISTINA GALAFATE"
88,El nuevo 23 de junio de Vetusta Morla: regreso a los conciertos 500 días después,El cantante sevillano celebra 20 años en la música con nuevo disco y un concierto especial junto a sus compañeros de Operación Triunfo que recaudará fondos para la hija del fallecido. 'La gente siente la pérdida de Álex Casademunt como la de un familiar'.,"noticia
porcentaje
Coincidencia 86%
23/06/2021PABLO GIL"
89,"Alberto Jiménez, de Miss Caffeina: ""No se es maricón de una única manera""","El grupo madrileño prepara su primer concierto desde marzo de 2020, 16 meses en los que ha aprovechado para 'echar el freno, valorar todo con perspectiva' y para trabajar en nuevos proyectos","noticia
porcentaje
Coincidencia 80%
23/06/2021DARÍO PRIETO"
