,stems,Label
11,"['tinerfeno', '23', 'year', 'old', 'longest', 'contest', 'program', 'take', 'third', 'highest', 'quantiti', 'histori', 'contest']",0
12,"['saturday', 'mark', '50th', 'anniversari', 'death', 'singer', 'door', 'whose', 'parisian', 'tomb', 'still', 'place', 'pilgrimag', 'fan', 'reconstruct', 'stay', 'citi', 'tri', 'leav', 'alcohol', 'triumph', 'writer', 'end', 'hook', 'heroin', 'die', 'cardiac', 'arrest']",1
13,"['billboard', 'renew', 'juli', '2', 'fast', 'furiou', '9', 'superproduct', 'smell', 'like', 'success', 'also', 'theft', 'centuri', 'mandibula', 'dead', 'man', 'know', 'live']",1
14,"['wall', 'villa', 'ainsa', 'rank', 'one', 'beauti', 'place', 'spain', 'old', 'town', 'mediev', 'origin', 'spectacular', 'environ', 'pyrineo', 'oscens', 'gate', 'nation', 'park', 'ordesa']",0
15,"['ibiza', 'tenerif', 'capit', 'becom', 'headquart', 'third', 'first', 'urban', 'offspr', 'chain', 'inspir', 'music', 'univers', 'spain', 'jam', 'session', 'terrac', 'free', 'yoga', 'session', 'rock', 'spa', 'pass', 'hear']",1
16,"['happen', 'new', 'year', 'eve', 'parti', 'cordoba', 'say', 'goodby', '2019', 'feder', 'victori', 'en', 'chandal', 'one', 'attende', 'protagonist', 'video', 'tell', 'us', 'happen', 'sinc', 'mallorca', 'without', 'abl', 'open', 'telephon', 'satur', 'notif']",0
17,"['writer', 'prize', 'letter', 'mediterraneum', '2020', 'address', 'challeng', 'genr', 'role', 'administr']",1
18,"['perform', 'part', 'special', 'tour', '25', 'year', 'take', 'place', 'sunday', '22', 'august', 'nautic', 'club', 'castellon']",1
19,"['23', 'year', 'old', 'could', 'becom', 'winner', 'one', 'biggest', 'jackpot', 'show', 'almost', 'two', 'million', 'euro']",0
20,"['primal', 'scream', 'singer', 'take', 'advantag', 'new', 'album', 'along', 'jehnni', 'beth', 'utopian', 'ash', 'advanc', 'part', 'autobiographi', 'predict', 'disappear', 'unit', 'kingdom', 'brexit']",1
21,"['carmen', 'maria', 'machado', 'write', 'toxic', 'relationship', 'archiv', 'silenc', 'surround', 'domest', 'abus', 'queer', 'novel', 'hous', 'dream']",0
22,"['alhambra', 'indispens', 'treasur', 'pomegran', 'join', 'besid', 'histori', 'art', 'tradit', 'legend', 'music', 'genuin', 'rabidli', 'beauti', 'andalusian', 'citi', 'alway', 'delight', 'travel', 'seek', 'littl', 'everyth', 'explor', 'five', 'guid', 'tour']",1
23,"['lucia', 'fernanda', 'madrid', '1996', 'although', 'decid', 'use', 'artist', 'name', 'surnam', 'carmona', 'older', 'word', 'daughter', 'antonio', 'granddaught', 'juan', 'bean', 'confirm', 'first', 'album', 'yelem', 'saga', 'continu']",1
24,"['maria', 'del', 'mar', 'one', 'student', 'confin', 'hotel', 'bellver', 'de', 'palma', 'tell', 'first', 'person', 'live', 'situat']",1
25,"['recoveri', 'tamour', 'first', 'storybook', 'writer', 'publish', '1965', 'recov', 'rare', 'avi', 'write', 'let', 'see', 'background', 'literari', 'galaxi']",0
26,"['pp', 'undertak', 'express', 'process', 'urban', 'law', 'allow', 'approv', 'bill', 'end', 'year', 'hand', 'free', 'decid', 'end', 'legislatur', 'end', 'psoe', 'appeal', 'regul', 'refus', 'advanc', 'initi', 'debat', 'parliament', 'two', 'week']",0
27,"['confirm', 'band', 'offici', 'facebook', 'profil', 'compos', 'flutist', 'die', 'madrid', 'long', 'ill']",1
28,"['deal', 'insomnia', 'easi', 'four', 'million', 'spaniard', 'suffer', 'sleep', 'problem', 'avoid', 'screen', 'diet', 'rich', 'tryptophan', 'medit', 'help', 'remedi']",0
29,"['select', 'best', 'discount', 'offer', 'find', 'today', 'june', '30', 'amazon']",0
30,"['new', 'bluetooth', 'headphon', 'mobil', 'soni', 'great', 'qualiti', 'good', 'batteri', 'includ', 'advanc', 'soundproof', 'system']",1
31,"['samsung', 'announc', 'tuesday', 'launch', 'spain', 'new', 'sound', 'bar', 'seri', 'q', '2021', 'famili', 'sound', 'technolog', 'true', 'dolbi', 'atmo', 'system', 'q', 'symphoni', 'combin', 'sound', 'channel']",1
32,"['pioneer', 'spanish', 'rap', 'present', '42', 'year', 'tremend', 'memori', 'assum', 'contradict', 'strength', 'overwhelm', 'person']",1
33,"['cristina', 'pedroch', 'one', 'famou', 'optimist', 'present', 'spanish', 'televis', 'also', 'discov', 'great', 'lover', 'coffe', 'charg', 'give', 'us', 'new', 'way', 'enjoy', 'drink', 'coffe', 'danc', 'carajillo', 'life']",0
34,"['vin', 'diesel', 'star', 'fast', 'furiou', '9', 'action', 'film', 'premier', 'cinema', 'juli', '2nd']",0
35,"['burjasot', 'valencia', '1993', 'star', 'urban', 'music', 'former', 'survivor', 'contest', 'nyno', 'varga', 'releas', 'new', 'album', 'nyno', 'effect', 'continu', 'warner']",1
36,"['1989', 'moorish', 'spain', '25', 'peopl', 'day', 'road', 'today', 'five', 'part', 'merit', 'engin', 'start', 'drive', 'two', 'hors', 'today', 'traffic', 'director', 'wife', 'say', 'drive', 'dirti', 'car', 'say', 'vispera', 'exit', 'oper']",0
37,"['music', 'full', 'volum', 'hour', 'throw', 'fruit', 'balconi', 'difficult', 'realli', 'sick', 'relat', 'one', 'guest', 'hotel', 'covid', '19', 'hundr', 'student', 'macro', 'breed', 'mallorca', 'found']",1
38,"['1', 'judg', 'refus', 'grant', 'habea', 'corpu', 'student', 'held', 'mallorca']",0
39,"['prime', 'minist', 'peñon', 'interven', 'club', 'centuri', 'xxi', 'messag', 'heard', 'peopl', 'room', 'applaud', 'itchi', 'manifest', 'start']",0
40,"['say', 'hear', 'question', 'mani', 'us', 'ask', 'start', 'last', 'campaign', 'low', 'cost', 'train', 'compani', 'ouigo', 'next', 'urban', 'singer', 'maikel', 'delacal']",1
41,"['eeuu', 'ireland', 'unit', 'kingdom', 'request', 'emerg', 'meet', 'onu', 'secur', 'council', 'tigray', 'fight', 'continu', '350', '000', 'peopl', 'verg', 'famin']",0
42,"['health', 'record', '10', '179', 'new', 'case', '10', 'death', 'goe', 'incid', '95', 'case', 'last', 'friday', '100', 'monday']",0
43,"['place', 'link', 'inquisit', 'point', 'hire', 'assassin', 'concentr', 'madrid', 'love', 'alfonso', 'xii', '25', 'new', 'guid', 'itinerari', 'propos', 'citi', 'council']",0
44,"['andrea', 'moti', 'barcelona', '1995', 'singer', 'trumpet', 'saxophonist', 'face', 'summer', 'full', 'concert', 'start', 'gun', 'juli', '1', 'music', 'safeti', 'festiv', 'go', 'eight', 'month', 'old', 'babi']",1
45,"['one', 'fundament', 'author', 'pop', 'return', 'hungri', 'lose', 'mother', 'due', 'outbreak', 'covid', 'resid', 'center', 'carri', 'vultur', 'fund', 'soul', 'chariti', 'seek', 'qualifi', 'peopl', 'peopl', 'lowest', 'possibl', 'salari', 'denounc']",1
46,"['eldest', 'daughter', 'alexandro', 'sanz', 'jaydi', 'michel', 'manuela', 'sanchez', 'usual', 'offer', 'much', 'inform', 'intim', 'environ', 'social', 'network', 'fact', 'sinc', 'spontan', 'introduc', 'boyfriend', 'axel', 'angl', 'follow', 'instagram', 'last', 'decemb']",0
47,"['emiss', 'top', 'star', 'continu', 'leav', 'moment', 'tonadillera', 'show', 'suffer', 'famili', 'situat']",1
48,"['door', 'theatr', 'group', 'fan', 'wait', 'peopl', 'oppos', 'vaccin', 'also', 'came', 'demonstr']",0
49,"['award', 'win', 'author', 'recent', 'publish', 'step', 'jane', 'austen', 'amadrina', 'romant', 'fair', 'benicàssim']",0
50,"['100', 'chines', 'rapper', 'join', 'togeth', 'compos', '15', 'minut', 'song', 'celebr', 'centenni', 'communist', 'parti', 'within', 'govern', 'strategi', 'captur', 'youngest', 'public']",1
51,"['writer', 'director', 'award', 'festiv', 'bone', 'present', 'wing', 'dark', 'new', 'dazzl', 'half', 'length', 'film', 'drawn', 'end', 'time']",0
52,"['geniu', 'sevilla', 'board', 'bullfight', 'front', 'heterodoxi', 'bullfight', 'extremadura', 'without', 'luck', 'juan', 'ortega', 'present', 'hear', 'three', 'notic', 'third']",0
53,"['leak', 'photo', 'presid', 'typic', 'pelocenicero', 'discov', 'beckham', 'necklac', 'bead', 'bought', 'hippi', 'ibiza', 'take', 'us', 'back', 'spain', 'aznar', 'time', 'happi']",0
54,"['billboard', 'renew', 'june', '24', '25', 'film', 'like', 'oper', 'shrimp', 'spirit', 'indomit', 'life', 'other']",0
55,"['mani', 'particip', 'travel', 'north', 'countri', 'villag', 'maleo', 'illeg', 'rave', 'parti', 'held', 'week', 'three', 'case', 'variant']",1
56,"['despit', 'restrict', 'covid', 'live', 'music', 'never', 'disappear', 'madrid']",1
57,"['spain', 'remov', 'mask', 'outdoor', 'week', 'six', 'million', 'dose', 'vaccin', 'receiv', 'coronaviru', 'outbreak', 'cours', 'trip', 'mallorca', 'alreadi', 'record', 'case', 'eight', 'autonom', 'commun']",0
58,"['decad', 'ago', 'launch', 'marbella', 'new', 'model', 'summer', 'music', 'festiv', 'celebr', '10th', 'edit', 'surviv', 'effect', 'pandem', 'show', 'industri']",1
59,"['film', 'poet', 'spi', 'recov', 'italian', 'charismat', 'life', 'writer', 'conqueror', 'women', 'creat', 'isria', 'protofascist', 'state', 'music', 'idea', 'nietzsch', 'fundament', 'principl']",1
60,"['appl', 'question', 'long', 'report', 'feasibl', 'use', 'app', 'instal', 'unoffici', 'road', 'mobil', 'devic']",0
61,"['host', 'elizabeth', 'taylor', 'conneri', 'princ', 'star', 'pass', 'coast', 'sun', 'today', 'balanc', 'loc', 'pandem', 'month', 'lost', '3', '4', 'million']",0
62,"['2020', 'mark', 'pandem', 'feast', 'pride', 'lgtbiqa', 'held', 'videoconfer', 'onlin', 'event', 'week', 'street', 'madrid', 'wear', 'rainbow', 'flag']",0
63,"['film', 'director', 'turn', 'last', 'film', 'novel', 'upon', 'time', 'hollywood']",0
64,"['last', 'summer', 'could', 'hardli', 'enjoy', 'emblemat', 'meet', 'sanitari', 'measur', 'occas', '32', '000', 'ticket', 'alreadi', 'sold']",0
65,"['countri', 'made', 'rapid', 'progress', 'vaccin', 'campaign', 'forc', 'take', 'step', 'back', 'face', 'outbreak', 'mutat', 'viru']",0
66,"['artist', 'return', 'work', 'togeth', 'tropic', 'rumba', 'record', 'fun', 'clip']",1
67,"['summer', 'perfect', 'time', 'read', 'possibl', 'rest', 'year', 'best', 'seller', 'black', 'novel', 'erot', 'literatur', 'essay', 'miss', 'select', 'titl']",0
68,"['aissa', 'aslani', 'madrid', '1997', 'becam', 'popular', 'hang', 'sketch', 'net', 'work', 'london', 'help', 'famili', 'financi', 'thing', 'better', 'return', 'spain', 'want', 'prove', 'fortun', 'music']",1
69,"['pablo', 'alboran', 'malaga', '1989', 'success', 'musician', 'spain', 'last', 'decad', 'sinc', 'yesterday', 'also', 'new', 'ambassador', 'unicef', 'spaina', 'recognit', 'trajectori', 'favor', 'vulner', 'children']",1
70,"['real', 'high', 'room', 'real', 'sevilla', 'citadel', 'show', 'histori', 'spain', 'pedro', 'architectur', 'art']",0
71,"['100', 'premier', 'artist', 'like', 'john', 'malkovich', 'angelica', 'liddel', 'maria', 'page', 'pippo', 'delbono', 'space', 'consolid', 'scenic', 'refer', 'nation', 'level']",1
72,"['locat', 'center', 'x', 'madrid', 'alcorcon', 'dine', 'room', 'terrac', 'beach', 'sand', 'area', 'bet', 'kitchen', 'contemporan', 'touch']",0
73,"['right', 'antonio', 'ferrera', 'short', 'tail', 'bull', 'zalduendo', 'ask', 'pardon', 'came', 'triumphant', 'next', 'portugu', 'juanito', 'walk', 'three', 'appendic', 'inaugur', 'celebr', 'fair', 'san', 'juan', 'de', 'badajoz', 'third', 'sword', 'inhabit', 'villag', 'went', 'empti']",0
74,"['malaga', 'great', 'holiday', 'destin', 'least', 'enjoy', 'escap', 'week', '15', 'day']",0
75,"['documentari', 'serv', 'speaker', 'campaign', 'freebritney', 'launch', 'fan', 'fear', 'pop', 'star', 'control', 'without', 'consent', 'father', 'tutelag', 'career', 'sinc', '2008', 'singer', 'suffer', 'sever', 'mental', 'crise']",1
76,"['present', 'collabor', 'perform', 'singular', 'perform', 'insid', 'swim', 'pool']",1
77,"['perfect', 'sound', 'good', 'origin', 'design', 'work', 'fear', 'android', 'much', 'cheaper', 'previou', 'gener']",1
78,"['86', 'year', 'old', 'actress', 'return', 'stage', 'show', 'vivaldi', 'human', 'speci', 'disori', 'say']",1
79,"['june', '26', 'date', 'expect', 'mani', 'face', 'peel', 'use', 'mask', 'outsid', 'declin', 'lower', 'half', 'face', 'seen', 'year', 'crouch', 'hygien', 'layer', 'cotton', 'fabric', 'ffp2']",1
80,"['even', 'though', 'start', 'hear', 'term', 'ageism', 'rel', 'recent', 'truth', 'coin', '60']",0
81,"['two', 'decad', 'work', 'theatr', 'cinema', 'televis', 'malaga', 'actor', 'met', 'present', 'dancer', 'beatriz', 'mur', 'choru', 'line', 'music', 'star', 'produc', 'intern', 'countryman']",1
82,"['littl', 'littl', 'conil', 'border', 'wake', 'summer', 'tourist', 'activ', 'diminish', 'pandem']",0
83,"['mamzel', 'sensat', 'summer', '2021', 'space', 'one', 'best', 'view', 'marbella', 'one', 'beauti', 'sunset', 'coast', 'sun', 'enjoy', 'dinner', 'music', 'show', 'five', 'star', 'citi', 'like', 'new', 'york', 'pari']",1
84,"['ambiti', 'sign', 'celebr', 'return', 'great', 'festiv', 'fertil', 'festiv', 'put', 'sale', 'sunday', '11', '00', 'initi', 'price', '60', 'cost', 'manag']",1
85,"['televis', 'two', 'artist', 'collabor', 'singl']",1
86,"['singer', 'talk', 'today', 'get', 'first', 'singl', 'band', 'turn', '40', 'year']",1
87,"['public', 'bodi', 'recov', 'european', 'montag', 'year', 'mark', 'pandem', 'coronaviru']",0
88,"['singer', 'sevillano', 'celebr', '20', 'year', 'music', 'new', 'album', 'special', 'concert', 'togeth', 'fellow', 'oper', 'triumph', 'rais', 'fund', 'daughter', 'deceas', 'peopl', 'feel', 'loss', 'alex', 'casademunt', 'rel']",1
89,"['madrid', 'group', 'prepar', 'first', 'concert', 'sinc', 'march', '2020', '16', 'month', 'taken', 'advantag', 'take', 'brake', 'valu', 'everyth', 'perspect', 'work', 'new', 'project']",1
90,"['talavera', 'de', 'la', 'reina', '1984', 'alberto', 'jimerez', 'voic', 'miss', 'caffeina', 'one', 'group', 'best', 'recept', 'spanish', 'pop', 'start', 'tour', 'get', 'pandem', 'friday', 'act', 'alicant', 'juli', '29', 'inca', 'mallorca', '30', 'month', 'valencia', 'august', '6', 'cadiz']",1
91,"['health', 'report', '30', 'death', '4', '040', 'new', 'infect', 'slow', 'incid', 'remain', '92', 'case']",0
92,"['fan', 'sevil', 'duo', 'opportun', 'stay', 'two', 'night', 'andalusian', 'hacienda', 'airbnb', 'celebr', '25', 'year', 'arriv', 'macarena', 'number', 'one', 'list', 'pop', 'success', 'unit', 'state', 'speak', 'river', 'year', 'success']",1
93,"['associ', 'night', 'madrid', 'augur', 'evolut', 'pandem', 'allow', 'relax', 'measur', 'possibl', 'rais', 'three', 'million', 'euro', 'daili', 'field']",0
94,"['worth', 'buy', 'much', 'save', 'buy', 'prime', 'day', 'best', 'offer', 'juici', 'discount', '86', 'technolog', 'beauti', 'fashion', 'technolog', 'video', 'game', 'supermarket', 'product']",0
95,"['voic', 'ana', 'torroja', '61', 'one', 'recogniz', 'spanish', 'music', 'panorama', 'howev', 'walk', 'soloist', 'last', 'mecano', 'tour', '1992', 'finish', 'take', 'cardin', 'point', 'fragil', 'smile', 'album', 'publish', 'biggest']",1
96,"['volleybal', 'video', 'game', 'ps4', '86', '1', 'write', 'tablet', 'children', '82', '2', 'moistur', 'cream', 'diadermin', '80', 'thirteen', 'bargain', 'miss', 'big', 'event', 'platform', 'onlin']",0
97,"['23', 'year', 'war', 'full', 'annoy', 'disagr', 'insult', 'danger', 'friendship', 'decid', 'honor', 'stop', 'alreadi', 'much', 'nonsens', 'leav', 'problem', 'asid', 'embrac', 'stage', 'fact', 'happen', 'friday', 'rialto', 'theater', 'madrid']",1
98,"['triunfita', 'releas', 'new', 'collabor', 'advanc', 'second', 'album', 'publish', 'juli']",1
99,"['last', 'day', 'discount', 'hour', 'left', 'take', 'advantag', 'amazon', 'prime', 'day', '2021', 'help', 'find', 'best', 'bargain']",1
100,"['festiv', 'season', 'begin']",1
101,"['night', 'leisur', 'ask', 'abl', 'use', 'certif', 'covid', 'ue', 'recreat', 'facil', 'pub', 'disco', 'claim', 'certif', 'implant', 'premis', 'sinc', 'would', 'give', 'tranquil', 'user', 'entrepreneur', 'point', 'ramon', 'presid', 'spain', 'night']",1
102,"['politician', 'erc', 'girlfriend', 'pnv', 'enjoy', 'beer', 'door', 'bar', 'put', 'anthem', 'spain']",1
103,"['educ', 'commun', 'goe', 'street', 'ask', 'build', 'return', 'gener', 'plan', '1997', 'higher', 'degre', 'music', 'danc', 'profession', 'demand', 'arriv', '2018']",1
104,"['polic', 'arrest', 'sunday', 'madrid', 'debut', 'concert', 'accus', 'fraud']",1
105,"['argentin', 'surround', '19', 'fellow', 'travel', 'cover', 'song', 'god', 'crea', 'first', 'work', 'confin', 'pandem', 'worst', 'moment', 'wors', 'squar', 'tore', 'say']",1
106,"['miss', 'select', 'discount', 'product', 'best', 'offer', 'last', 'day', 'amazon', 'prime', 'day', '2021']",1
107,"['henri', 'wolf', 'musician', 'actor', 'mommi', 'appear', 'good', 'wife', 'grace', 'star', 'newsroom', 'louisa', 'debutara', 'small', 'screen', 'new', 'seri', 'downton', 'abbey', 'creator']",1
108,"['door', 'angel', 'chiringuito', 'step', 'away', 'madrid', 'river', 'countri', 'hous', 'open', 'weekend', 'madbeach', 'club', 'multifunct', 'multicultur', 'outdoor', 'space', 'set', 'beachclub', 'capac', '3']",0
109,"['side', 'puddl', 'name', 'antonio', 'soli', 'frame', 'synonym', 'fame', 'success', 'popular', 'mexican', 'sold', '20', '000', '000', 'album', 'almost', 'alexandro', 'sanz', 'american', 'academi', 'honor', 'six', 'nomin', 'grammi', 'surpris']",1
110,"['athen', 'gin', 'brother', 'daughter', 'christin', 'infanta', 'week', 'mani', 'act']",0
111,"['nation', 'auditorium', 'music', 'madrid', 'host', 'next', '26', 'novemb', '2021', 'third', 'concert', 'symphon', 'solidar', 'dreamer', 'event', 'organ', 'gmp', 'foundat', 'maestro', 'ramon', 'turlledo', 'collabor', 'foundat', 'marjal', 'previou', 'edit']",1
112,"['billboard', 'renew', 'movi', 'arriv', 'hall', 'june', '16', '18', 'exampl', 'quiet', 'place', '2', 'thriller', 'emili', 'blunt', 'option', 'enjoy', 'big', 'screen', 'cinema', 'like', 'bodyguard', '2', 'ryan', 'reynold', 'samuel', 'l', 'jackson', 'salma', 'hayek']",0
113,"['astonish', 'abil', '450', 'hors', 'audi', 'compens', 'sport', 'cast', 'calm', 'tempera', 'engin', 'bring']",1
114,"['one', 'preciou', 'nativel', 'madrid', '1948', 'anoth', 'tale', 'one', 'quit', 'differ', 'eleph', 'sanctuari', 'red', 'sunset', 'africa', 'stori', 'adventur', 'accord', 'explain', 'us', 'work', 'adult', 'tale']",0
115,"['day', 'prime', 'alreadi', 'work', 'machin', 'think', 'better', 'time', 'renew', 'get', 'good', 'bluetooth', 'headphon', 'mobil']",1
116,"['tablet', 'televis', 'mobil', 'microwav', 'smartwatch', 'programm', 'pot', 'zanussi', 'wash', 'machin', 'select', 'chollo', 'great', 'brand', 'bring', 'us', 'amazon', 'prime', 'day', '2021']",0
117,"['21', '22', 'june', 'amazon', 'celebr', 'great', 'shop', 'parti', 'amazon', 'prime', 'day', 'thousand', 'item', 'reduc', 'spectacularli', 'particularli', 'favor', 'moment', 'get', 'gadget', 'need', 'simpli', 'want', 'die', 'smartphon', 'sport', 'watch']",0
118,"['iñaki', 'dominguez', 'dissect', 'stori', 'madrid', 'street', 'myth', 'dum', 'dum', 'pacheco', 'juanma', 'terribl', 'french', 'memor', 'macarra', 'popul', 'citi', 'worthi', 'seri', 'netflix']",0
119,"['stall', 'posit', 'psoe', 'unit', 'maintain', 'despit', 'march', 'pablo', 'church']",0
120,"['striker', 'break', 'drought', 'enough', 'dark', 'gerard', 'rule', 'first', 'penalti', 'season', '12', 'launch', 'without', 'fail']",0
121,"['research', 'psycholog', 'baylor', 'univers', 'eeuu']",1
122,"['brain', 'continu', 'process', 'music', 'even', 'though', 'play', 'even', 'appar', 'sleep', 'say', 'research']",1
123,"['gendarmeri', 'interven', 'night', 'avoid', 'rave', 'parti', 'bretaña', 'near', 'redon', 'accord', 'prefectur', 'particip', 'tri', 'mount', 'parti', 'local', 'hypodrom']",1
124,"['matter', 'vagu', 'summer', 'walk', 'along', 'beach', 'turn', 'pleasant', 'exercis', 'seem', 'sweat', 'allow', 'lose', 'mani', 'calori', 'specif', '50', 'usual', 'surfac']",0
125,"['federico', 'garcia', 'lorca', 'made', 'thousand', 'theatric', 'adapt', 'hundr', 'book', 'written', 'half', 'dozen', 'film', 'film', 'one', 'juan', 'diego', 'butto', 'sergio', 'peri', 'mencheta', 'launch', 'moonless', 'night', 'approach', 'figur', 'rescu', 'old']",0
126,"['director', 'presum', 'thinker', 'case', 'agapito', 'maestr', 'dedic', 'essay', 'philosophi', 'aesthet', 'analyz', 'cinematograph', 'work', 'joy', 'reason', 'union', 'editori', '2021', 'catedratico', 'de', 'la', 'complutens', 'qualifi', 'cinema', 'gonzalo', 'garcia', 'pelayo']",0
127,"['three', 'decad', 'like', 'anthem', 'rout', 'bakalao', 'catapult', 'fame', 'valencian', 'dj', 'lead', 'ecstasi', 'entir', 'gener']",1
128,"['madrid', 'hear', 'consid', 'excess', 'agent', 'face', 'inviol', 'domicil']",0
129,"['singer', 'issu', 'statement', 'expect', 'justic', 'pronounc', 'know', 'act', 'bad', 'faith', 'right']",1
130,"['french', 'compos', 'hector', 'berlioz', 'one', 'renew', 'symphon', 'nineteenth', 'centuri', 'guitarist', 'instead', 'pianist', 'attribut', 'phrase', 'mani', 'consid', 'apocrypha', 'guitar', 'small', 'orchestra']",1
131,"['loyal', 'roberto', 'amaz', 'actor', 'music', 'talent', 'rais', 'possibl', 'would', 'collabor', 'cepeda']",1
132,"['foundat', 'artist', 'gather', 'found', 'piec', 'togeth', 'influenc', 'klee', 'juli', 'gonzalez', 'african', 'art']",0
133,"['drive', '10', '12', 'morn', 'next', 'barbara', 'archilla', 'alreadi', 'section', 'explain', 'dad']",0
134,"['prime', 'day', '2021', 'deserv', 'becom', 'prime', 'user', 'discount', 'brand', 'appl', 'xiaomi', 'armour', 'samsung', 'explain', 'everyth', 'doubt', 'advanc', 'first', 'offer']",0
135,"['call', 'promot', 'nois', 'free', 'town', 'citi', 'happen', 'europ']",0
136,"['festiv', 'vitoria', 'celebr', '20th', 'anniversari', '16th', '18th', 'june', 'next', 'year']",1
137,"['sexual', 'set', 'behavior', 'character', 'person', 'anim']",0
138,"['day', 'ago', 'sonsol', 'soto', 'better', 'known', 'muse', 'avila', 'becam', 'center', 'gaze', 'perplex', 'interven', 'program', 'magazin', 'local', 'channel', '8', 'castilla', 'lion', 'read', 'live', 'erot', 'poem', 'explicit', 'last', 'antologia', 'creat', 'soul', 'pu']",0
139,"['organ', 'cogam', 'finalis', 'govern', 'deleg', 'detail', 'event', 'collabor', 'vice', 'mayor', 'town', 'hall', 'madrid']",1
140,"['whether', 'new', 'member', 'saga', 'renown', 'indian', 'eater', 'classic', 'capit', 'offer', 'advoc', 'contemporan', 'madrid', 'great', 'repres', 'real', 'indian', 'cuisin']",0
141,"['squar', 'inaugur', 'june', '17', '1931', 'run', 'benefit', 'unemploy', 'worker', 'organ', 'mayor', 'madrid', 'line', 'parad', 'world', 'person', 'polit', 'cinema', 'literatur', 'busi']",0
142,"['delaport', 'rigoberta', 'bandini', 'two', 'young', 'propos', 'electron', 'sound', 'star', 'annual', 'gala', 'music', 'indi']",1
143,"['french', 'oblig', 'wear', 'mask', 'outdoor', 'sunday', 'curfew', 'fall', 'ten', 'day', 'ahead', 'govern', 'foreseen']",1
144,"['stage', 'door', 'angel', 'wait', 'june', '23', 'open', 'instal', 'one', 'place', 'madrid', 'summer']",1
145,"['life', 'lawyer', 'career', 'background', 'sinc', 'sarampion', 'viru', 'caus', 'sever', 'hear', 'loss', 'four', 'year', 'age', 'still', 'expect', 'council', 'approv', 'use', 'inclus', 'mask', 'court']",0
146,"['less', 'week', 'enjoy', 'million', 'chollo', 'amazon', 'prime', 'day', '2021', 'alreadi', 'offer', 'fashion', 'home', 'beauti', 'sport', 'technolog']",0
147,"['mr', 'gécen', 'call', 'report', 'made', 'diseas', 'biodivers', 'threaten', 'extinct', 'caus', 'acust', 'lumin', 'pollut']",0
148,"['muse', 'imagin', 'dragon', 'killer', 'king', 'lion', 'twenti', 'one', 'pilot', 'st', 'vincent', 'also', 'perform', 'madrid', 'festiv', 'held', '6', '9', 'juli', '2022']",1
149,"['contest', 'benicàssim', 'return', '29', '31', 'octob', 'three', 'fail', 'edit', 'best', 'poster', 'histori', 'four', 'scenario', '10', '000', 'first', 'fertil', 'sale']",0
150,"['grover', 'expand', 'spain', 'busi', 'base', 'rental', 'high', 'end', 'technolog', 'iphon', 'televis', 'photo', 'camera', 'video', 'consol']",0
151,"['pamplona', '1971', 'finish', 'fifth', 'season', 'popular', 'netflix', 'seri', 'actress', 'singer', 'compos', 'najwa', 'nimri', 'present', 'ama', 'mushroom', 'pillow', 'bolero', 'album', 'made', 'pandem', 'collabor', 'pablo', 'alboran', 'isra', 'fernandez', 'alvaro', 'mort', 'russianwski']",1
152,"['new', 'edit', 'includ', 'recit', 'like', 'actor', 'alberto', 'san', 'juan', 'concert', 'like', 'group', 'black', 'pearl', 'gospel']",1
