,Texto,Clase,Fecha,Autores,Coincidencia_elmundo
12,"este sabado se cumplen 50 años de la muerte del cantante de the doors, cuya tumba parisina aun es lugar de peregrinacion de sus 'fans'. reconstruimos su estancia en la ciudad, donde intento dejar el alcohol y triunfar como escritor. acabo enganchado a la heroina y fallecio de un paro cardiaco en...",noticia,2021-02-07,IAKI GIL,76
13,"la cartelera se renueva el 2 de julio con fast & furious 9, una superproduccion que huele a exito, pero tambien con el robo del siglo, mandibulas y hombre muerto no sabe vivir.",noticia,2021-02-07,JAVIER ESTRADA,70
14,"la villa amurallada de ainsa esta en todos los rankings como uno de los lugares mas bonitos de españa, por su casco antiguo de origen medieval y por su espectacular entorno en el pirineo oscense, a las puertas del parque nacional de ordesa.",noticia,2021-02-07,M CANALES,70
15,"tras ibiza y tenerife, la capital se convierte en la sede del tercer retoño (y el primero urbano) de la cadena inspirada en el universo musical en españa. 'jam sessions' en la terraza, sesiones gratuitas de yoga, spa roquero... pasen y oigan.",noticia,2021-02-07,ISABEL GARCA,86
16,"sucedio durante una fiesta de nochevieja en cordoba para despedir 2019. victoria federica, 'en chandal', fue una de las asistentes. el protagonista del video nos cuenta lo sucedido desde mallorca, sin poder abrir un telefono saturado de notificaciones",noticia,2021-01-07,NGEL ORTIZ,70
17,la escritora y premio letras del mediterraneo 2020 aborda los retos del genero o el papel de las administraciones,noticia,2021-01-07,DANIEL VICENTE,70
18,la actuacion forma parte de su gira especial de 25 años y se desarrollara el domingo 22 de agosto en el club nautico de castellon,noticia,2021-01-07,EL MUNDO,77
19,"con tan solo 23 años, podria convertirse en el ganador de uno de los botes mas grandes del programa, casi dos millones de euros.",noticia,2021-01-07,LOC,76
20,"el cantante de primal scream aprovecha su nuevo disco junto a jehnny beth, 'utopian ashes', para adelantar parte de su autobiografia y pronosticar la desaparicion del reino unido por culpa del brexit",noticia,2021-01-07,ISMAEL MARINERO,77
21,carmen maria machado escribe sobre su relacion toxica y el silencio archivistico entorno al maltrato domestico queer en la novela 'en la casa de los sueños',noticia,2021-01-07,LETICIA BLANCO,70
22,"la alhambra es un tesoro indispensable, pero en granada se unen ademas de historia y arte, tradicion, leyenda, musica... genuina y rabiosamente bella, la ciudad andaluza es siempre una delicia para el viajero que busca un poco de todo. la exploramos a traves de cinco tours guiados.",noticia,2021-01-07,EL MUNDO VIAJES,73
23,"lucia fernanda. madrid, 1996. aunque haya decidido no utilizarlo en su nombre artistico, su apellido es carmona. palabras mayores. hija de antonio y nieta de juan el habichuela, confirma con su primer disco, yelem, que la saga continua.",noticia,2021-01-07,IAKO DAZGUERRA,86
24,"maria del mar, una de las estudiantes confinadas en el hotel bellver de palma, cuenta en primera persona como estan viviendo la situacion.",noticia,2021-06-30,MANUEL FERNNDEZ,72
25,"la recuperacion de 'tamoure', el primer libro de cuentos del escritor, publicado en 1965, recupera una 'rara avis' de su escritura y deja ver los antecedentes de su galaxia literaria",noticia,2021-06-30,ANTONIO LUCAS,70
26,el pp emprende una tramitacion expres de la ley urbanistica que permita aprobar el proyecto antes de final de año y tener las manos libres para decidir cuando se pone fin a la legislatura. el psoe apela al reglamento y se niega a adelantar dos semanas el debate inicial en el parlamento,noticia,2021-06-30,TERESA LPEZ PAVN,70
27,"segun ha confirmado la banda en su perfil oficial de facebook, el compositor y flautista ha fallecido en madrid tras una larga enfermedad",noticia,2021-06-30,E,79
28,"lidiar con el insomnio no es facil. mas de cuatro millones de españoles sufre problemas de sueño. evitar las pantallas, una alimentacion rica en triptofano y la meditacion ayudan a ponerle remedio.",noticia,2021-06-30,JESSICA NIETO,70
29,"una seleccion de los mejores descuentos y las ofertas que puedes encontrar hoy, 30 de junio, en amazon",noticia,2021-06-30,BAZAR,70
30,"los nuevos auriculares bluetooth para movil de sony tienen una gran calidad, una muy buena bateria e incluyen un avanzadisimo sistema de insonorizacion",noticia,2021-06-30,BRUNO TOLEDANO,73
31,"samsung ha anunciado este martes el lanzamiento en españa de sus nuevas de barras de sonido de la serie q de 2021, una familia que cuenta con la tecnologia de sonido true dolby atmos y el sistema q-symphony para combinar canales de sonido.",noticia,2021-06-30,EUROPA PRESS,70
32,la pionera del rap español presenta a sus 42 años unas memorias tremendas en las que asume contradicciones y fortalezas con una personalidad arrolladora,noticia,2021-06-30,JOS FAJARDO,86
33,"cristina pedroche es una de las presentadoras mas famosas y, sobre todo, mas optimistas de la television española. ademas hemos descubierto que es una gran amante del cafe. ella va a ser la encargada de darnos una nueva forma de disfrutar de esta bebida: el cafe bailao, el carajillo de toda la vida ...",noticia,2021-06-30,A GABRIEL,72
34,"vin diesel protagoniza 'fast & furious 9', una pelicula de accion que se estrena en cines el 2 de julio",noticia,2021-06-30,JAVIER ESTRADA,72
35,"burjasot (valencia), 1993. estrella de la musica urbana y ex concursante de supervivientes, nyno vargas acaba de presentar su nuevo disco, el efecto nyno... continuara (warner).",noticia,2021-06-30,DARO PRIETO,86
36,"en 1989, en españa morian 25 personas al dia en carretera; hoy son cinco. parte del merito es de este ingeniero que empezo a conducir un dos caballos y hoy es el director de trafico. 'mi mujer dice que llevo el coche sucio', dice la vispera de la 'operacion salida'",noticia,2021-06-29,PEDRO SIMN  FOTOS JAVI MARTNEZ,70
37,"'tienen la musica a todo volumen durante horas, tiran fruta por los balcones. es muy dificil para los que estan enfermos de verdad', relata uno de los huespedes que se encuentran en el hotel covid-19 donde se encuentran cientos de estudiantes del macrobrote de mallorca",noticia,2021-06-29,ANDREA FEDERICA DE CESCO CORRIERE DELLA SERA,76
38,1.- el juez deniega conceder el 'habeas corpus' a los estudiantes retenidos en mallorca,noticia,2021-06-29,EL MUNDO,70
39,el primer ministro del peñon intervenia en el club siglo xxi cuando se ha escuchado el mensaje. algunas personas de la sala han aplaudido y picardo ha manifestado: 'ya empezamos',noticia,2021-06-29,MARISOL HERNNDEZ,70
40,¿se dice oigo? ¿uigo? o ¿como? con la pregunta que muchos nos hemos hecho arranca la ultima campaña de la compañia de trenes low cost ouigo junto al cantante urbano maikel delacalle,noticia,2021-06-29,EL MUNDO,79
41,"eeuu, irlanda y reino unido han solicitado una reunion de emergencia del consejo de seguridad de la onu sobre tigray, donde los combates continuan y 350.000 personas estan al borde de la hambruna",noticia,2021-06-29,AFP,72
42,sanidad registra 10.179 nuevos casos y 10 muertos y pasa de una incidencia de 95 casos el pasado viernes a 100 este lunes,noticia,2021-06-29,NOELIA MARN  ESTHER MUCIENTES  JAVIER MUNERA,70
43,"lugares vinculados con la inquisicion, puntos donde se concentraban los asesinos a sueldo o el madrid que amaba alfonso xii son algunos de los 25 nuevos itinerarios guiados que propone el ayuntamiento.",noticia,2021-06-29,M CANALES,72
44,"andrea motis. barcelona, 1995. la cantante, trompetista y saxofonista afronta un verano cargado de conciertos. el pistoletazo de salida sera el 1 de julio en musica en segura. a todos los festivales acudira con su bebe de ocho meses.",noticia,2021-06-29,SILVIA MORENO,86
45,"uno de los autores fundamentales del pop vuelve con 'hambre' tras perder a su madre por un brote de covid en una residencia. 'estos centros los llevan fondos buitre que no son almas de la caridad, que no buscan gente cualificada, sino gente con el menor sueldo posible', denuncia",noticia,2021-06-28,PEDRO SIMN  F B D,81
46,"la hija mayor de alejandro sanz y jaydy michel, manuela sanchez, no suele ofrecer demasiada informacion sobre su ambito mas intimo en las redes sociales y, de hecho, desde que presentara espontaneamente a su novio, axel angulo, a sus seguidores de instagram el pasado mes de diciembre, no habia...",noticia,2021-06-28,BANG,70
47,las emisiones de 'top star' siguen dejando momentos en los que la tonadillera da muestras de su sufrimiento ante su situacion familiar,noticia,2021-06-28,GTRES,72
48,"a las puertas del teatro le espero un grupo de fans, pero tambien acudieron a manifestarse personas contrarias a la vacuna",noticia,2021-06-28,,76
49,"la premiada autora, que recientemente ha publicado 'tras los pasos de jane austen', amadrina la feria romantica de benicàssim",noticia,2021-06-28,DANIEL VICENTE,70
50,cien raperos chinos se unen para componer una cancion de 15 minutos que celebra el centenario del partido comunista dentro de la estrategia del gobierno para captar al publico mas joven,noticia,2021-06-28,LUCAS DE LA CAL,86
51,"el escritor y director, que acaba de ser premiado en el festival de huesca, presenta 'alas de tiniebla', un nuevo y deslumbrante mediometraje dibujado sobre el fin de los tiempos",noticia,2021-06-28,LUIS MARTNEZ,70
52,el genio de sevilla bordo el toreo frente a la heterodoxia del torero extremeño; sin suerte juan ortega en su presentacion: escucho tres avisos en el tercero,noticia,2021-06-27,L P,70
53,"la filtracion de una foto del presidente con el tipico 'pelocenicero' de quien no ha descubierto a beckham y un collar de cuentas comprado a un 'hippie' en ibiza nos retrotrae a la españa de aznar, ese tiempo en que fuimos felices",noticia,2021-06-27,J B,74
54,"la cartelera se renueva el 24 y 25 de junio con peliculas como operacion camaron, spirit: indomable o la vida de los demas.",noticia,2021-06-27,JAVIER ESTRADA,70
55,"muchos de los participantes viajaron desde el norte del pais hasta la localidad de maleo, donde se celebraba una fiesta rave ilegal y que esta semana tuvo tres casos de esta variante",noticia,2021-06-27,FRANCESCO GASTALDI  C  S,70
56,"a pesar de las restricciones por covid, la musica en directo nunca desaparecio de madrid",noticia,2021-06-27,ROCO NAVARRO,86
57,españa se quita la mascarilla en exteriores en una semana en la que se recibiran mas de seis millones de dosis de vacunas contra el coronavirus y mientras el brote tras los viajes de curso a mallorca ya registra casos en ocho comunidades autonomas,noticia,2021-06-27,ISABEL VELLOSO  REBECA YANKE  JD M,70
58,hace una decada puso en marcha en marbella un nuevo modelo de festival estival de musica. ahora celebra su 10ª edicion tras sobrevivir a los efectos de la pandemia en la industria del espectaculo.,noticia,2021-06-27,DARO PRIETO,86
59,"la pelicula 'el poeta y el espia' recupera al carismatico italiano, quien despues de una vida de escritor y conquistador de mujeres creo en istria un estado protofascista en el que la musica y las ideas de nietzsche eran los principios fundamentales.",noticia,2021-06-26,DARO PRIETO,74
60,apple cuestiona en un largo informe la viabilidad del uso de apps instaladas por vias no oficiales en sus dispositivos moviles,noticia,2021-06-26,NGEL JIMNEZ DE LUIS,70
61,"ha sido anfitriona de elizabeth taylor, de sean connery, de prince... de todas las estrellas que han pasado por la costa del sol. hoy hace balance con loc de estos meses de pandemia: 'he perdido entre 3 y 4 millones'.",noticia,2021-06-26,L F R,73
62,"tras un 2020 marcado por la pandemia, en el que las fiestas del orgullo lgtbiqa+ tuvieron que celebrarse a traves de videoconferencias y eventos online, esta semana las calles de madrid volveran a lucir las banderas arcoiris.",noticia,2021-06-26,ISMAEL MARINERO,76
63,"el director de cine convierte en novela su ultima pelicula, 'erase una vez en... hollywood'",noticia,2021-06-25,L M,76
64,"el verano pasado apenas se pudo disfrutar del emblematico encuentro por las medidas sanitarias pero, en esta ocasion, se han vendido ya 32.000 entradas",noticia,2021-06-25,DAVID VIGARIO,72
65,el pais que mas rapido avanzo en la campaña de vacunacion se ve obligado a dar un paso atras ante la irrupcion de la mutacion del virus,noticia,2021-06-25,SAL EMERGUI,70
66,los artistas han vuelto a trabajar juntos en una rumba tropical para la cual han grabado un divertido clip,noticia,2021-06-25,TRESB,76
67,"el verano es el momento perfecto para leer lo que no se ha podido durante el resto del año. 'best sellers', novela negra, literatura erotica, ensayo... no te pierdas esta seleccion de titulos",noticia,2021-06-25,BAZAR,70
68,"aissa aslani (madrid, 1997) se hizo popular colgando sketches en redes mientras trabajaba en londres para ayudar economicamente a su familia. cuando las cosas estuvieron mejor, volvio a españa y quiso probar fortuna en la musica.",noticia,2021-06-25,CRISTINA LUIS  SERGIO GONZLEZ V,86
69,"pablo alboran. malaga, 1989. es el musico que mas exito ha tenido en españa en la ultima decada. y, desde ayer, es tambien el nuevo embajador de unicef españa «como reconocimiento a su trayectoria a favor de los niños mas vulnerables».",noticia,2021-06-25,LUIS ALEMANY,83
70,el cuarto real alto del real alcazar de sevilla muestra la historia de españa desde pedro i a traves de la arquitectura y el arte,noticia,2021-06-25,ANA GARCA ROMERO,70
71,"con mas de 100 estrenos y artistas como john malkovich, angelica liddell, maria pages o pippo delbono, el espacio se consolida como el referente escenico a nivel nacional",noticia,2021-06-25,EL MUNDO,81
72,"ubicado en el centro x-madrid (alcorcon), cuenta con comedor, terraza y zona de playa y arena y apuesta por una cocina con toques contemporaneos.",noticia,2021-06-25,ISABEL MUOZ,70
73,"el diestro antonio ferrera corto un rabo a un toro de zalduendo para el que pidieron el indulto y salio triunfador junto al portugues juanito, que paseo tres apendices, en el festejo inaugural de la feria de san juan de badajoz, en la que el tercer espada, morante de la puebla, se fue de vacio. una ...",noticia,2021-06-25,EFE,70
74,"malaga es un gran destino de vacaciones, al menos para disfrutar de una escapara de una semana o de 15 dias",noticia,2021-06-24,,72
75,"un documental sirve de altavoz a la campaña #freebritney, lanzada por fans que temen que la estrella del pop este siendo controlada sin su consentimiento por su padre. este tutela su carrera desde 2008, cuando la cantante sufrio varias crisis mentales",noticia,2021-06-24,PABLO GIL,80
76,el presentador y la colaboradora realizaron una singular actuacion dentro de una piscina,noticia,2021-06-24,TRESB,74
77,"no son perfectos, pero suenan bien, tienen un diseño muy original, funcionan de miedo con android y son mucho mas baratos que su anterior generacion",noticia,2021-06-24,BRUNO TOLEDANO,70
78,"con 86 años, la actriz vuelve a subir a los escenarios con un espectaculo sobre vivaldi. 'la especie humana esta desorientada', asegura",noticia,2021-06-24,MANUEL LLORENTE  FOTOGRAFAS CARLOS GARCA POZO,73
79,"el 26 de junio es la fecha, esperada por muchos, del destape facial, cuando decae el uso de las mascarillas en exteriores y la mitad inferior del rostro volvera a dejarse ver despues de un año agazapado tras capas higienicas, telas de algodon y ffp2",noticia,2021-06-24,MARTA SOTILLO,70
80,"aunque hayas empezado a escuchar hace relativamente poco el termino 'edadismo', lo cierto es que se acuño en los años 60",noticia,2021-06-24,SILVIA NIETO,73
81,"despues de dos decadas trabajando en el teatro, el cine y la television, el actor malagueño conocio a la presentadora y bailarina beatriz mur en 'a chorus line', un musical protagonizado y producido por su internacional paisano.",noticia,2021-06-24,FTIMA ELIDRISSI,70
82,"poco a poco, conil de la frontera despierta al verano, a los turistas y a las actividades que se han visto mermadas por la pandemia",noticia,2021-06-24,MARA CANALES,70
83,"mamzel es la sensacion del verano 2021. en este espacio desde el que podras tener una de las mejores vistas de marbella y uno de los atardeceres mas hermosos de la costa del sol podras disfrutar de una cena y un espectaculo musical de cinco estrella. ciudades como nueva york, pari...",foto,2021-06-23,,81
84,"con un ambicioso cartel que celebra el regreso de los grandes festivales, los abonos del festival se pondran a la venta este domingo, a las 11.00 horas, a un precio inicial de 60 mas gastos de gestion",noticia,2021-06-23,EM,86
85,television las dos artistas han colaborado en un single,noticia,2021-06-23,TRESB,70
86,"la cantante hablo sobre hoy no me puedo levantar, el primer sencillo del grupo, que ha cumplido 40 años",noticia,2021-06-23,PABLO R ROCES,70
87,el organismo publico recupera los montajes europeos tras un año marcado por la pandemia del coronavirus,noticia,2021-06-23,CRISTINA GALAFATE,86
88,el cantante sevillano celebra 20 años en la musica con nuevo disco y un concierto especial junto a sus compañeros de operacion triunfo que recaudara fondos para la hija del fallecido. 'la gente siente la perdida de alex casademunt como la de un familiar'.,noticia,2021-06-23,PABLO GIL,86
89,"el grupo madrileño prepara su primer concierto desde marzo de 2020, 16 meses en los que ha aprovechado para 'echar el freno, valorar todo con perspectiva' y para trabajar en nuevos proyectos",noticia,2021-06-23,DARO PRIETO,80
90,"talavera de la reina, 1984. alberto jimenez es la voz de miss caffeina, uno de los grupos con mejor acogida del pop español, que acaba de iniciar su gira para salir de la pandemia. el viernes actua en alicante, el 29 de julio en inca (mallorca), el 30 de ese mes en valencia y el 6 de agosto en cadiz...",noticia,2021-06-23,ISABEL VELLOSO  NOELIA MARN  JAVIER MUNERA,73
91,"sanidad notifica 30 muertes y 4.040 nuevos contagios mientras se frena la bajada de la incidencia, que permanece en 92 casos",noticia,2021-06-23,MARTA GONZLEZHONTORIA,73
92,"fans del duo sevillano tienen la oportunidad de alojarse durante dos noches en una hacienda andaluza de airbnb para celebrar con ellos los 25 años de la llegada de la 'macarena' al numero uno en la lista de exitos pop de estados unidos. hablamos con los del rio de aquellos años, del exito y de sus...",noticia,2021-06-23,MARA VAQUERO,72
93,la asociacion noche madrid augura que la evolucion de la pandemia permitira relajar las medidas y que sera posible recaudar hasta tres millones de euros diarios para el sector,noticia,2021-06-23,BAZAR,74
94,"¿que merece la pena comprar? ¿cuanto me ahorro si compro en prime day? aqui tienes las mejores ofertas y los descuentos mas jugosos de hasta el 86% en todas las tecnologias: belleza, moda, tecnologia, videojuegos, productos de supermercado...",noticia,2021-06-22,LUIS FERNANDO ROMO,74
95,"la voz de ana torroja (61) es una de las mas reconocibles del panorama musical hispano; sin embargo, su andadura como solista tras la ultima gira de mecano en 1992 no ha terminado de despegar. puntos cardinales, fragil o sonrisas son algunos de los albumes que ha publicado la mayor ...",noticia,2021-06-22,BAZAR,70
96,"un videojuego de voleibol para la ps4 al 86,1%, un tablet de escritura para niños al 82,2%, una crema hidratante diadermine al 80% y otras trece gangas que no puedes perderte en el gran evento de la plataforma 'online'",noticia,2021-06-22,,76
97,"tras 23 años en guerra -una llena de disgustos, desencuentros e insultos-, amistades peligrosas ha decidido honrar su 'basta ya de tanta tonteria', dejar sus problemas de lado y volver a abrazarse en un escenario. de hecho, eso es lo que sucedera este viernes en el teatro rialto de madrid, cuando...",noticia,2021-06-22,TRESB,74
98,"la 'triunfita' ha lanzado una nueva colaboracion como adelanto de su segundo disco, que publicara en julio",noticia,2021-06-22,BAZAR,72
99,"ultimo dia de descuentos, te quedan solo unas horas para aprovechar el amazon prime day 2021. nosotros te ayudamos a dar con las mejores gangas",noticia,2021-06-22,M CANALES,86
100,la temporada de festivales esta a punto de comenzar,noticia,2021-06-22,RAQUEL VILLACIJA,74
101,"el ocio nocturno ha pedido poder usar el certificado covid de la ue para las instalaciones recreativas, pubs y discotecas. 'reclamamos que este certificado se implante en los locales, pues daria tranquilidad a usuarios y empresarios', ha señalado ramon mas, presidente de españa de noche, durante la ...",noticia,2021-06-22,LOC,76
102,"el politico de erc y su novia, del pnv, disfrutaban de una cerveza en la puerta de un bar cuando pusieron el himno de españa",noticia,2021-06-22,CHELO PASTOR,80
103,"la comunidad educativa sale a la calle para pedir que su edificio 'vuelva' al plan general. en 1997 se reivindico el grado superior de musica y el profesional de danza, que no llego hasta 2018",noticia,2021-06-22,EFE,72
104,"la policia lo detuvo el domingo antes de su concierto debut en madrid, acusado de estafa",noticia,2021-06-22,LUCAS PREZ,86
105,"el argentino se rodea de 19 compañeros de viaje para versionar sus canciones en 'dios los cria', su primer trabajo tras el confinamiento: 'los de la pandemia no estan siendo los peores momentos y en peores plazas hemos toreado', asegura.",noticia,2021-06-22,BAZAR,73
106,no te pierdas esta seleccion de los productos mas rebajados y las mejores ofertas en el ultimo dia del amazon prime day 2021,noticia,2021-06-22,FTIMA ELIDRISSI,77
107,"henry wolfe es musico y actor; mamie ha aparecido en the good wife; grace ha protagonizado the newsroom, y louisa debutara en la pequeña pantalla con la nueva serie del creador de downton abbey.",noticia,2021-06-22,MC,77
108,"chiringuito puerta del angel, a un paso de madrid rio y la casa de campo, inaugura este fin de semana madbeach club, un espacio multifuncional y multicultural al aire libre ambientado como un beachclub de playa, con un aforo para 3",noticia,2021-06-22,ANDREA MROSA DEL PINO,79
109,"al otro lado del charco, el nombre marco antonio solis es sinonimo de fama, exito y popularidad. y es que el mexicano ha vendido mas 20.000.000 de discos (casi lo mismo que alejandro sanz) y la academia estadounidense lo ha honrado con seis nominaciones al grammy. por lo que no es de sorprender que ...",noticia,2021-06-22,M PINA,72
110,"ha estado en atenas y en ginebra, con su hermano y su hija, la infanta cristina. esta semana tiene muchos actos",noticia,2021-06-21,E M,86
111,"el auditorio nacional de musica de madrid acogera el proximo 26 de noviembre de 2021 el tercer concierto sinfonico solidario dreamers, un evento organizado por fundacion gmp y el maestro ramon torrelledo, con la colaboracion de fundacion marjal. como en ediciones anteriores, el...",noticia,2021-06-21,JAVIER ESTRADA,72
112,"la cartelera se renueva con peliculas que llegan a las salas el 16 y el 18 de junio, por ejemplo, un lugar tranquilo 2, un thriller con emily blunt. pero hay mas opciones para disfrutar del cine en pantalla grande como el otro guardaespaldas 2, con ryan reynolds, samuel l. jackson y salma hayek, o...",noticia,2021-06-21,FERNANDO LLAMAS,70
113,asombra la capacidad que exhibe este audi de 450 caballos para compensar su casta deportiva con el temperamento sosegado que aporta su ingenieria.,noticia,2021-06-21,MARISA DEL BOSQUE,70
114,"el de nativel preciado (madrid, 1948) es otro cuento, uno bien distinto, el de un santuario de elefantes y un atardecer rojo en africa; una historia de aventuras, segun nos explica ella misma, que funciona como un 'cuento de adultos'",noticia,2021-06-21,PIXEL,70
115,"el prime day ya esta funcionando a toda maquina, asi que no se nos ocurre mejor momento para renovar o hacerse con unos buenos auriculares bluetooth para el movil",noticia,2021-06-21,BAZAR,72
116,"tabletas, televisiones, moviles, microondas, 'smartwatches', ollas programables, una lavadora zanussi... una seleccion de los chollos en grandes marcas que nos trae el amazon prime day 2021",noticia,2021-06-21,ANA BRETN,70
117,"el 21 y 22 de junio, amazon celebra su gran fiesta de las compras, el amazon prime day, con miles de articulos rebajados de manera espectacular, un momento especialmente propicio para hacerte con ese gadget que necesitas (o sencillamente, deseas a muerte): un smartphone, un reloj deportivo, unos...",noticia,2021-06-20,ANA DEL BARRIO,72
118,"iñaki dominguez disecciona la historia de madrid a traves de sus mitos callejeros. dum dum pacheco, juanma el terrible o el frances son algunos de esos macarras memorables que poblaban la ciudad, dignos de tener su propia serie de netflix.",noticia,2021-06-20,OLGA R SANMARTN  RAL PIA,70
119,las posiciones encalladas entre psoe y unidas podemos se han mantenido hasta ahora pese a la marcha de pablo iglesias,noticia,2021-06-20,CARLOS GUISASOLA,70
120,"el delantero rompe su sequia, pero no es suficiente. gerard moreno, que fallo su primer penalti de la temporada tras 12 lanzamientos sin fallo",noticia,2021-06-19,EUROPA PRESS,86
121,"psicologia investigador de la universidad de baylor, eeuu",noticia,2021-06-19,AFP,72
122,"'nuestros cerebros siguen procesando la musica aunque no este sonando, incluso aparentemente mientras dormimos', afirma el investigador",noticia,2021-06-19,MARISA DEL BOSQUE,70
123,"la gendarmeria habia intervenido durante la noche para evitar esta fiesta rave en bretaña, cerca de redon. segun la prefectura, los participantes intentaron montar la fiesta en el hipodromo local",noticia,2021-06-19,ISMAEL MARINERO,76
124,"no importa como de vaga seas; en verano caminar por la playa resulta un ejercicio tan agradable que parece que no lo hicieras, con el que no se suda y que te permite perder muchas calorias, en concreto un 50% mas de lo habitual cuando lo hacemos sobre otras superficies",noticia,2021-06-19,FERNANDO PALMERO,74
125,"de federico garcia lorca se han hecho miles de adaptaciones teatrales, se han escrito cientos de libros y se han filmado media decena de peliculas. pero nadie, hasta que juan diego botto y sergio peris-mencheta pusieron en marcha una noche sin luna, se habia acercado a su figura rescatando viejas y ...",noticia,2021-06-18,RODRIGO TERRASA,81
126,"pocos directores pueden presumir de que un pensador, en este caso agapito maestre, haya dedicado un ensayo de filosofia y de estetica a analizar su obra cinematografica. en la razon alegre (union editorial, 2021), el catedratico de la complutense califica el cine de gonzalo garcia pelayo como «el ma...",noticia,2021-06-18,MANUEL MARRACO,70
127,"se cumplen tres decadas de 'asi me gusta a mi', el himno de la ruta del bakalao que catapulto a la fama al dj valenciano y que llevo al extasis a toda una generacion",noticia,2021-06-18,R KELLER,70
128,la audiencia de madrid considera que hubo 'un exceso' de los agentes frente a la inviolabilidad del domicilio,noticia,2021-06-18,IGNACIO ARBALEJO,81
129,"el cantaor ha emitido un comunicado en el que espera que la justicia se pronuncie: 'solo entonces sabremos quien ha actuado de mala fe, quien lleva la razon y quien no'.",noticia,2021-06-18,TRESB,76
130,"al compositor frances hector berlioz, uno de los renovadores del sinfonismo del siglo xix, que era guitarrista en vez de pianista, se le atribuye la frase que muchos consideran apocrifa de 'la guitarra es una pequeña orquesta'",noticia,2021-06-18,LUIS ALEMANY,70
131,roberto leal se quedo asombrado ante el talento musical del actor y planteo la posibilidad de que colabore con cepeda,noticia,2021-06-18,LOC,76
132,"la fundacion del artista reune sus piezas fundacionales junto a ¡sus influencias: klee, julio gonzalez, el arte africano...",noticia,2021-06-17,BAZAR,76
133,"conducira el tramo de 10 a 12 de la mañana junto a barbara archilla. ya tenia la seccion 'yo te lo explico, papa'",noticia,2021-06-17,GERMN GONZLEZ,74
134,"¿cuando es el prime day 2021? ¿merece la pena hacerse usuario prime? ¿habra rebajas en marcas como apple, xiaomi, under armour o samsung? te lo explicamos todo para que no tengas ninguna duda y te adelantamos las primeras ofertas",noticia,2021-06-17,E M,79
135,sos galgos insta a 'promover los pueblos y ciudades libres de ruido' como pasa en europa,noticia,2021-06-17,ALBA MARA GARCA RASERO,72
136,el festival de vitoria celebrara su 20 aniversario del 16 al 18 de junio del proximo año,noticia,2021-06-17,EL MUNDO,72
137,la sexualidad es un conjunto de comportamientos que caracteriza a la persona y al animal,noticia,2021-06-17,LUIS F DURN,70
138,"hace unos dias sonsoles soto, mas conocida como la 'musa de avila', se convirtio en el centro de las miradas, la mayoria perplejas, al intervenir en el programa magazine del canal local la 8 de castilla y leon y leer en directo un poema erotico muy explicito de su ultima antologia, creando almas (pu...",noticia,2021-06-17,ISABEL MUOZ,70
